id,brand,item_name,category,description,serving_amount,serving_unit,serving_label,calories,fat_g,carbs_g,protein_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,potassium_mg,source_type,source_date,source_detail,source_url,region,is_manual_override
949545,Sonic,Cherry Add-in Medium,Toppings & Ingredients,"Cherry Add-in Medium, Drink Add Ins & Toppings",,,Medium,60,0,17,0,0,17,5,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949547,Sonic,Cherry Add-in Rt 44,Toppings & Ingredients,"Cherry Add-in Rt 44, Drink Add Ins & Toppings",,,,120,0,34,0,0,34,10,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949544,Sonic,Cherry Add-in Small,Toppings & Ingredients,"Cherry Add-in Small, Drink Add Ins & Toppings",,,Small,30,0,8,0,0,8,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949543,Sonic,Cherry Add-in Wacky Pack,Toppings & Ingredients,"Cherry Add-in Wacky Pack, Drink Add Ins & Toppings",,,,30,0,8,0,0,8,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949574,Sonic,Cherry Garnish,Toppings & Ingredients,"Cherry Garnish, Drink Add Ins & Toppings",,,,10,0,2,0,0,2,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
4436,Sonic,Chicken Club Toaster Sandwich,Sandwiches,"Chicken Club Toaster Sandwich, Toaster Sandwiches",,,,770,43,63,32,3,8,1590,80,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
949584,Sonic,Chicken Slinger,Sandwiches,"Chicken Slinger, Chicken",,,,350,16,35,14,3,6,680,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
23009,Sonic,"Chicken Wrap, Crispy",Sandwiches,"Chicken Wrap, Crispy, Wraps",,,,530,28,48,21,2,2,1280,40,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
424,Sonic,"Chicken Wrap, Grilled",Sandwiches,"Chicken Wrap, Grilled, Wraps",,,,480,14,39,31,2,3,1720,80,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
157264,Sonic,"Chili Cheese Fries, Large",Fried Potatoes,"Chili Cheese Fries, Large, Snacks & Sides",,,Large,710,40,70,18,7,2,1390,50,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
157263,Sonic,"Chili Cheese Fries, Medium",Fried Potatoes,"Chili Cheese Fries, Medium, Snacks & Sides",,,Medium,450,26,42,12,4,2,940,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
157260,Sonic,"Chili Cheese Fries, Small",Fried Potatoes,"Chili Cheese Fries, Small, Snacks & Sides",,,Small,350,19,36,8,3,1,640,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
